id,date,function_id,execution_time
1104,2020-07-10,0,77
16800,2020-09-16,5,119
9834,2020-04-05,3,1032
13862,2020-12-04,4,5760
17738,2020-08-04,5,150
4785,2020-06-06,1,251
11299,2020-03-09,3,1032
9893,2020-09-14,3,1045
15602,2020-12-29,5,156
9863,2020-04-28,3,1026
12159,2020-03-28,4,5856
11888,2020-04-21,3,1043
1071,2020-07-09,0,68
10758,2020-10-22,3,1041
3569,2020-05-24,1,257
10233,2020-01-23,3,1030
16952,2020-03-06,5,151
6314,2020-08-27,2,306
6526,2020-11-03,2,343
3022,2020-12-02,1,256
14905,2020-02-16,4,5749
1588,2020-02-21,0,71
9253,2020-08-13,3,1030
68,2020-07-12,0,70
595,2020-12-19,0,67
3433,2020-11-18,1,255
5484,2020-06-18,1,253
3649,2020-05-15,1,259
2223,2020-04-09,0,67
2396,2020-01-13,0,67
15844,2020-04-21,5,150
4245,2020-11-23,1,252
10072,2020-12-22,3,1041
4791,2020-06-06,1,252
11971,2020-12-27,3,1034
10881,2020-12-02,3,1028
4052,2020-01-03,1,252
13147,2020-04-26,4,5640
6529,2020-04-26,2,310
15406,2020-03-24,5,137
4595,2020-03-25,1,252
14669,2020-08-20,4,5898
10670,2020-02-26,3,1032
76,2020-04-10,0,68
13127,2020-12-19,4,5987
17,2020-07-06,0,66
17686,2020-12-29,5,155
4004,2020-09-08,1,252
14927,2020-02-20,4,5694
3345,2020-06-19,1,257
2114,2020-03-25,0,59
17982,2020-03-27,5,173
6138,2020-04-02,2,310
17110,2020-11-22,5,154
12250,2020-12-19,4,5818
4116,2020-02-29,1,255
4581,2020-02-24,1,257
1853,2020-06-03,0,73
17894,2020-04-01,5,165
7167,2020-06-28,2,329
16705,2020-07-13,5,163
6198,2020-02-10,2,318
8155,2020-09-02,2,304
12515,2020-05-19,4,5793
7434,2020-07-02,2,310
17837,2020-06-04,5,136
1786,2020-06-23,0,65
9922,2020-05-08,3,1033
11517,2020-11-25,3,1032
5483,2020-10-17,1,255
5936,2020-05-05,1,254
16799,2020-11-09,5,147
10889,2020-03-04,3,1025
6035,2020-11-17,2,342
4590,2020-03-01,1,255
5154,2020-07-14,1,253
7124,2020-06-06,2,346
13035,2020-06-16,4,5897
16431,2020-10-27,5,144
51,2020-09-07,0,66
1981,2020-04-20,0,68
3090,2020-10-28,1,254
11523,2020-05-08,3,1028
14555,2020-12-28,4,5770
10521,2020-01-17,3,1034
11203,2020-02-19,3,1035
1776,2020-01-11,0,70
12763,2020-02-01,4,5842
16832,2020-02-02,5,167
17346,2020-11-18,5,157
1621,2020-11-03,0,71
4853,2020-02-27,1,248
14101,2020-10-23,4,5632
14499,2020-11-11,4,5728
16579,2020-07-21,5,151
14363,2020-07-19,4,5654
1468,2020-02-07,0,66
11070,2020-05-25,3,1034
5279,2020-12-02,1,254
14026,2020-12-08,4,5786
13968,2020-07-22,4,5757
2333,2020-02-13,0,59
116,2020-08-14,0,60
7026,2020-11-14,2,339
6000,2020-01-07,2,333
15708,2020-03-03,5,162
16653,2020-04-19,5,143
5211,2020-05-13,1,252
842,2020-01-09,0,68
2763,2020-05-29,0,68
268,2020-02-16,0,67
12222,2020-06-11,4,5753
7727,2020-04-04,2,339
9408,2020-10-14,3,1031
11128,2020-10-03,3,1034
9687,2020-05-27,3,1030
5801,2020-12-06,1,247
9599,2020-08-28,3,1032
11704,2020-02-19,3,1032
8380,2020-08-05,2,337
10628,2020-09-14,3,1032
5026,2020-03-14,1,252
16873,2020-06-21,5,154
3567,2020-02-27,1,252
15897,2020-02-14,5,134
2842,2020-11-14,0,64
4290,2020-08-15,1,256
9048,2020-07-12,3,1034
7245,2020-04-30,2,335
17513,2020-08-04,5,161
10431,2020-11-15,3,1036
7325,2020-08-03,2,319
7132,2020-01-14,2,336
2719,2020-01-04,0,58
7014,2020-09-03,2,361
14850,2020-12-25,4,5736
5719,2020-08-18,1,254
3508,2020-04-27,1,255
2967,2020-10-18,0,64
13264,2020-03-28,4,5896
14918,2020-06-16,4,5815
13256,2020-05-04,4,5932
9407,2020-05-26,3,1043
5521,2020-05-13,1,250
17157,2020-01-19,5,152
4343,2020-05-02,1,253
11473,2020-12-27,3,1030
13945,2020-03-12,4,5849
17007,2020-10-23,5,159
5321,2020-12-07,1,257
11524,2020-04-10,3,1039
1436,2020-02-26,0,61
464,2020-12-20,0,56
10597,2020-04-16,3,1034
17017,2020-12-29,5,144
503,2020-12-19,0,62
16483,2020-05-27,5,151
9182,2020-03-23,3,1039
13258,2020-01-03,4,5914
13005,2020-05-12,4,5654
246,2020-03-07,0,71
6739,2020-04-12,2,341
9575,2020-05-17,3,1038
17935,2020-11-09,5,151
8531,2020-01-11,2,309
7779,2020-07-08,2,332
11319,2020-04-23,3,1030
2275,2020-09-06,0,67
10469,2020-05-28,3,1034
2073,2020-03-23,0,60
9868,2020-05-06,3,1029
2630,2020-11-05,0,75
8482,2020-05-01,2,356
9313,2020-10-25,3,1032
6402,2020-07-14,2,291
17598,2020-07-07,5,155
4892,2020-06-04,1,250
6749,2020-11-30,2,326
3315,2020-12-07,1,254
10132,2020-03-05,3,1033
14675,2020-12-29,4,5709
14679,2020-02-22,4,5863
13588,2020-10-04,4,5769
6221,2020-07-31,2,317
380,2020-05-12,0,64
6898,2020-08-30,2,336
11296,2020-03-11,3,1032
1276,2020-07-03,0,72
17408,2020-10-19,5,134
13410,2020-01-12,4,5838
10412,2020-03-04,3,1038
12336,2020-06-13,4,5695
174,2020-08-06,0,61
308,2020-09-12,0,73
7563,2020-12-17,2,330
1151,2020-03-27,0,68
6132,2020-12-20,2,302
9,2020-08-12,0,66
10289,2020-03-26,3,1039
3402,2020-08-27,1,258
15479,2020-05-04,5,158
4398,2020-01-03,1,251
4988,2020-02-14,1,257
14201,2020-04-30,4,5916
4540,2020-12-03,1,255
13092,2020-03-07,4,5919
16756,2020-07-09,5,152
12342,2020-01-27,4,5841
7735,2020-11-08,2,297
9155,2020-06-13,3,1030
7517,2020-11-28,2,333
10585,2020-04-13,3,1040
3605,2020-11-07,1,260
8670,2020-02-08,2,318
11428,2020-01-06,3,1028
2713,2020-05-15,0,67
892,2020-12-29,0,67
9941,2020-08-19,3,1029
17344,2020-07-08,5,144
1287,2020-07-26,0,64
1225,2020-05-10,0,64
4670,2020-11-01,1,257
7603,2020-12-02,2,348
9847,2020-04-02,3,1034
11197,2020-05-07,3,1041
17938,2020-10-06,5,150
6859,2020-12-10,2,304
525,2020-06-25,0,63
17301,2020-07-19,5,180
7774,2020-12-25,2,340
14957,2020-04-15,4,5779
4764,2020-04-05,1,259
6686,2020-10-18,2,372
2544,2020-01-14,0,71
10567,2020-01-23,3,1029
3493,2020-03-01,1,249
5417,2020-02-25,1,255
3230,2020-12-15,1,256
13604,2020-01-18,4,5585
12203,2020-04-16,4,5757
14915,2020-12-20,4,5520
4395,2020-02-21,1,251
15747,2020-05-27,5,140
721,2020-05-24,0,72
4218,2020-04-16,1,256
1815,2020-07-09,0,73
16983,2020-02-27,5,136
12281,2020-12-11,4,5897
7116,2020-09-15,2,332
15585,2020-09-19,5,152
5115,2020-06-04,1,259
9548,2020-06-10,3,1030
8411,2020-03-14,2,361
1243,2020-11-04,0,63
11290,2020-12-13,3,1034
724,2020-08-26,0,63
4384,2020-10-25,1,253
743,2020-09-25,0,60
7695,2020-12-15,2,329
5697,2020-03-03,1,251
11592,2020-02-14,3,1041
2063,2020-10-20,0,71
11930,2020-08-07,3,1033
5113,2020-03-30,1,252
9937,2020-01-09,3,1029
6766,2020-03-05,2,315
10413,2020-08-05,3,1032
13375,2020-12-29,4,5838
5942,2020-06-21,1,257
12355,2020-04-29,4,5787
1455,2020-03-28,0,61
13611,2020-06-15,4,5961
16510,2020-05-04,5,138
1055,2020-10-01,0,71
13360,2020-05-03,4,5846
17179,2020-06-27,5,168
2585,2020-05-09,0,67
13292,2020-10-18,4,5872
8462,2020-08-20,2,363
5336,2020-12-02,1,255
15966,2020-10-30,5,152
10101,2020-07-11,3,1037
14982,2020-02-05,4,5933
1181,2020-01-25,0,67
11113,2020-06-04,3,1033
3682,2020-01-04,1,258
17757,2020-04-12,5,155
16004,2020-01-23,5,162
8806,2020-11-27,2,310
17177,2020-10-05,5,148
12478,2020-05-02,4,5769
11959,2020-09-20,3,1037
6078,2020-07-18,2,334
3352,2020-05-20,1,253
11506,2020-09-17,3,1030
7884,2020-11-30,2,349
3027,2020-12-19,1,259
17697,2020-10-25,5,165
15588,2020-06-10,5,145
1001,2020-11-18,0,65
2956,2020-12-12,0,72
10497,2020-09-06,3,1029
6088,2020-01-21,2,304
6688,2020-12-04,2,316
13803,2020-07-24,4,5759
1950,2020-05-07,0,72
14065,2020-07-11,4,5773
7426,2020-04-13,2,372
14908,2020-04-21,4,5872
4697,2020-04-16,1,250
15779,2020-02-01,5,155
9451,2020-09-07,3,1021
12930,2020-11-25,4,5821
16477,2020-12-20,5,146
9372,2020-02-04,3,1033
10997,2020-07-30,3,1034
15586,2020-01-26,5,147
6890,2020-01-17,2,328
12764,2020-12-20,4,5643
8627,2020-07-06,2,279
1309,2020-05-23,0,74
17138,2020-04-01,5,145
3203,2020-06-24,1,252
2324,2020-02-08,0,65
15057,2020-01-05,5,151
14290,2020-03-10,4,5958
7425,2020-04-20,2,330
12706,2020-02-10,4,5935
17193,2020-09-30,5,169
7189,2020-11-02,2,354
13816,2020-09-27,4,5740
3397,2020-12-13,1,254
7196,2020-12-05,2,300
12548,2020-08-08,4,5695
3636,2020-09-24,1,252
10263,2020-06-26,3,1033
8015,2020-04-20,2,361
3076,2020-08-12,1,260
13420,2020-11-10,4,5764
8040,2020-04-13,2,315
187,2020-08-11,0,81
14907,2020-03-02,4,5804
768,2020-12-10,0,62
4507,2020-12-30,1,260
4584,2020-09-07,1,250
9238,2020-07-16,3,1036
4488,2020-03-05,1,255
5524,2020-12-06,1,255
687,2020-04-29,0,62
7597,2020-01-03,2,319
12907,2020-12-02,4,5770
7433,2020-04-18,2,289
11488,2020-12-11,3,1033
9715,2020-04-02,3,1032
9210,2020-07-03,3,1039
4712,2020-07-31,1,252
2048,2020-04-28,0,68
13450,2020-03-08,4,5669
10892,2020-09-14,3,1031
12936,2020-08-21,4,5741
3001,2020-05-20,1,252
3008,2020-06-21,1,257
10549,2020-02-14,3,1038
7835,2020-02-04,2,314
7269,2020-07-16,2,314
10440,2020-02-20,3,1028
5302,2020-08-20,1,254
17925,2020-08-03,5,152
14786,2020-01-17,4,5810
13041,2020-02-14,4,5733
7024,2020-02-11,2,332
15434,2020-08-31,5,147
15706,2020-07-06,5,151
4986,2020-02-10,1,249
609,2020-02-05,0,76
10756,2020-03-31,3,1028
14364,2020-01-10,4,5739
2729,2020-10-13,0,65
3626,2020-11-25,1,252
6500,2020-08-25,2,301
7832,2020-01-11,2,329
17290,2020-07-01,5,145
9096,2020-07-10,3,1026
1215,2020-04-24,0,65
15696,2020-02-19,5,143
17121,2020-07-05,5,156
12305,2020-10-31,4,5980
14523,2020-12-25,4,5701
8829,2020-11-18,2,325
10527,2020-02-19,3,1035
8964,2020-10-13,2,338
13659,2020-12-21,4,5823
1710,2020-11-28,0,63
6691,2020-04-26,2,341
10116,2020-03-07,3,1029
9854,2020-12-10,3,1027
3117,2020-09-04,1,259
17799,2020-10-03,5,132
13361,2020-06-03,4,5630
10159,2020-05-02,3,1042
13348,2020-09-21,4,5946
4396,2020-10-31,1,252
14389,2020-12-29,4,5829
225,2020-09-09,0,68
12669,2020-06-21,4,5743
16763,2020-07-29,5,147
1500,2020-05-28,0,65
14776,2020-05-31,4,5982
15244,2020-11-10,5,151
790,2020-08-20,0,66
17010,2020-11-18,5,145
13990,2020-01-22,4,5778
5534,2020-12-29,1,260
8437,2020-07-30,2,354
14062,2020-06-27,4,5784
15774,2020-06-27,5,163
588,2020-03-03,0,71
16468,2020-06-28,5,154
6945,2020-05-02,2,313
5961,2020-03-19,1,255
14470,2020-06-02,4,5913
12218,2020-11-22,4,5854
13651,2020-12-08,4,5901
2434,2020-07-09,0,76
16272,2020-06-21,5,159
9061,2020-01-01,3,1033
9859,2020-12-27,3,1034
2074,2020-05-31,0,69
13199,2020-12-08,4,5862
9009,2020-04-06,3,1033
397,2020-04-05,0,71
3872,2020-06-28,1,253
12110,2020-03-18,4,5854
2455,2020-02-01,0,66
8112,2020-08-04,2,331
8307,2020-06-06,2,305
12998,2020-01-28,4,5775
13312,2020-06-22,4,5868
12446,2020-08-28,4,5639
16073,2020-11-30,5,152
13274,2020-04-07,4,5849
16423,2020-10-14,5,159
7161,2020-10-10,2,340
14865,2020-12-21,4,5934
5797,2020-02-22,1,258
15704,2020-03-03,5,143
13676,2020-07-17,4,5829
10248,2020-04-26,3,1034
16803,2020-08-07,5,162
10506,2020-08-16,3,1036
15049,2020-01-21,5,154
7542,2020-11-07,2,305
4896,2020-06-18,1,251
14087,2020-11-30,4,5876
17371,2020-09-09,5,154
9242,2020-01-25,3,1039
2334,2020-03-01,0,61
14980,2020-05-03,4,5640
1474,2020-01-01,0,63
1549,2020-10-01,0,66
1832,2020-03-02,0,70
10018,2020-04-12,3,1036
16532,2020-08-14,5,150
5757,2020-06-17,1,256
17744,2020-02-12,5,149
1373,2020-05-16,0,68
9704,2020-08-17,3,1040
1106,2020-08-19,0,68
6371,2020-02-10,2,331
1862,2020-02-09,0,64
1632,2020-12-21,0,59
2491,2020-11-14,0,61
3745,2020-03-20,1,257
17886,2020-02-26,5,160
4645,2020-03-20,1,262
13214,2020-09-21,4,5653
9305,2020-09-24,3,1029
2550,2020-06-19,0,65
9149,2020-10-13,3,1040
1733,2020-03-23,0,59
15036,2020-03-08,5,150
3448,2020-12-13,1,254
7075,2020-02-20,2,336
216,2020-08-19,0,62
17947,2020-05-09,5,161
16414,2020-09-06,5,161
2320,2020-06-24,0,58
14639,2020-04-13,4,5755
17583,2020-07-09,5,157
5626,2020-12-10,1,248
747,2020-12-13,0,68
5632,2020-10-02,1,258
7208,2020-12-08,2,311
15439,2020-01-29,5,161
1382,2020-11-19,0,68
10563,2020-12-18,3,1031
12466,2020-03-09,4,5847
16724,2020-11-14,5,162
12958,2020-07-15,4,5900
16635,2020-02-07,5,145
1260,2020-08-22,0,64
14250,2020-02-02,4,5857
9693,2020-10-29,3,1038
3519,2020-11-10,1,251
9364,2020-09-29,3,1040
8775,2020-05-21,2,353
4457,2020-04-11,1,255
1250,2020-02-15,0,61
15252,2020-01-01,5,145
8175,2020-07-22,2,340
7842,2020-03-06,2,349
15763,2020-03-02,5,148
2259,2020-01-09,0,64
337,2020-10-31,0,60
16717,2020-04-16,5,164
9248,2020-02-22,3,1026
7163,2020-03-25,2,353
17761,2020-12-22,5,159
8619,2020-11-16,2,345
15546,2020-12-15,5,158
15826,2020-03-10,5,153
13109,2020-01-13,4,6105
3973,2020-03-08,1,254
12251,2020-02-19,4,5802
9986,2020-03-05,3,1034
10893,2020-09-23,3,1028
1656,2020-06-02,0,65
10783,2020-11-10,3,1040
11179,2020-11-21,3,1029
4973,2020-12-12,1,251
7572,2020-07-09,2,310
3868,2020-02-18,1,253
7419,2020-08-23,2,299
6886,2020-05-03,2,338
11312,2020-07-07,3,1036
13079,2020-04-22,4,5831
1543,2020-06-17,0,66
13638,2020-11-30,4,5764
13466,2020-07-29,4,5794
12334,2020-07-01,4,5672
9776,2020-10-15,3,1040
5912,2020-03-22,1,249
13730,2020-10-13,4,5734
7008,2020-07-29,2,304
2793,2020-01-07,0,71
11474,2020-04-21,3,1042
16143,2020-07-13,5,146
5674,2020-01-08,1,252
2068,2020-02-16,0,73
12527,2020-05-11,4,5901
11138,2020-12-26,3,1038
5240,2020-10-15,1,249
10652,2020-02-19,3,1037
3268,2020-02-17,1,251
12309,2020-09-16,4,5733
9234,2020-08-20,3,1029
16420,2020-04-09,5,153
12080,2020-09-29,4,5769
17637,2020-09-16,5,167
9019,2020-06-01,3,1041
13789,2020-10-22,4,5849
9619,2020-10-09,3,1035
9038,2020-06-20,3,1037
17952,2020-07-24,5,162
9218,2020-03-18,3,1039
11382,2020-03-02,3,1034
16292,2020-03-07,5,145
16342,2020-02-14,5,161
7259,2020-04-07,2,345
2565,2020-01-13,0,67
3675,2020-07-11,1,259
5064,2020-02-05,1,252
2804,2020-08-09,0,75
12621,2020-08-15,4,5893
14427,2020-11-21,4,5900
2641,2020-12-20,0,67
1625,2020-09-02,0,62
10110,2020-09-11,3,1031
8539,2020-09-05,2,340
16695,2020-04-17,5,162
5733,2020-02-07,1,257
109,2020-08-26,0,64
15717,2020-07-11,5,161
15987,2020-02-05,5,138
12170,2020-11-09,4,5737
1866,2020-03-26,0,69
1283,2020-06-04,0,63
2658,2020-01-16,0,62
3769,2020-05-27,1,260
8581,2020-12-15,2,333
9475,2020-09-02,3,1029
15610,2020-12-05,5,144
3299,2020-01-09,1,250
4787,2020-04-22,1,250
16831,2020-11-19,5,167
5734,2020-03-13,1,259
5331,2020-01-26,1,257
5108,2020-07-20,1,250
15690,2020-01-11,5,155
14647,2020-01-28,4,5652
1526,2020-10-22,0,68
5783,2020-06-03,1,252
3052,2020-12-12,1,251
9514,2020-03-30,3,1037
312,2020-03-23,0,68
12625,2020-12-30,4,5852
575,2020-04-21,0,66
16144,2020-02-09,5,169
711,2020-03-02,0,66
5598,2020-01-18,1,249
5679,2020-05-28,1,252
8077,2020-07-23,2,310
17384,2020-11-27,5,161
8122,2020-08-19,2,333
14525,2020-07-17,4,5794
5519,2020-04-29,1,253
14385,2020-11-26,4,5713
12113,2020-08-18,4,5727
12326,2020-12-15,4,5709
5313,2020-12-17,1,258
16964,2020-08-19,5,139
7276,2020-07-31,2,331
8032,2020-10-05,2,353
14886,2020-04-14,4,5717
6482,2020-11-08,2,314
7756,2020-07-30,2,356
3537,2020-07-15,1,250
1073,2020-06-21,0,72
11515,2020-08-28,3,1036
7258,2020-04-17,2,340
4161,2020-12-04,1,247
11006,2020-01-29,3,1031
12077,2020-12-30,4,5850
4326,2020-08-24,1,250
725,2020-01-16,0,64
10770,2020-02-22,3,1032
14617,2020-08-07,4,5650
6348,2020-06-18,2,299
17088,2020-11-06,5,172
12158,2020-05-20,4,5702
9026,2020-02-10,3,1036
608,2020-05-13,0,67
513,2020-03-19,0,69
8497,2020-01-10,2,355
8852,2020-02-07,2,310
7250,2020-05-01,2,326
10959,2020-12-21,3,1032
8703,2020-05-12,2,324
5807,2020-03-25,1,254
2885,2020-02-19,0,69
3267,2020-04-17,1,262
6849,2020-01-19,2,308
280,2020-11-16,0,53
16463,2020-10-26,5,145
2639,2020-01-24,0,74
15060,2020-02-04,5,152
12366,2020-01-26,4,5931
10716,2020-11-02,3,1038
16047,2020-12-22,5,165
10329,2020-09-14,3,1043
10767,2020-02-04,3,1034
12017,2020-10-31,4,5767
9087,2020-03-29,3,1037
17477,2020-01-08,5,162
17911,2020-02-02,5,153
17774,2020-04-01,5,157
9594,2020-07-20,3,1037
16929,2020-07-10,5,141
17567,2020-05-05,5,144
12088,2020-03-18,4,5754
1017,2020-02-13,0,68
5249,2020-06-14,1,258
13098,2020-10-11,4,5713
17950,2020-11-18,5,145
5158,2020-12-10,1,249
4596,2020-06-06,1,253
6234,2020-04-22,2,323
16496,2020-08-18,5,162
5166,2020-07-28,1,250
13467,2020-01-11,4,5873
11206,2020-10-26,3,1034
9317,2020-04-10,3,1034
8194,2020-05-07,2,323
2297,2020-11-20,0,65
8228,2020-06-13,2,358
4576,2020-03-12,1,249
14633,2020-07-10,4,5707
6638,2020-03-17,2,320
8050,2020-04-06,2,354
12389,2020-02-26,4,5843
5492,2020-10-18,1,252
16153,2020-02-03,5,170
13636,2020-01-07,4,5736
6866,2020-09-27,2,343
8456,2020-06-13,2,320
11836,2020-08-21,3,1030
6962,2020-02-27,2,319
13431,2020-05-07,4,5772
7361,2020-10-17,2,350
15508,2020-06-09,5,142
2270,2020-09-26,0,66
8872,2020-01-01,2,327
10924,2020-12-12,3,1041
16776,2020-07-03,5,156
9686,2020-11-27,3,1037
13759,2020-11-02,4,5827
15550,2020-03-25,5,155
3632,2020-03-12,1,257
13614,2020-10-22,4,5762
13044,2020-06-03,4,5712
391,2020-05-01,0,69
16946,2020-08-19,5,149
3486,2020-03-06,1,248
10225,2020-03-04,3,1030
10530,2020-09-14,3,1024
2354,2020-01-14,0,63
10156,2020-01-15,3,1025
5979,2020-04-23,1,255
9554,2020-06-24,3,1025
2558,2020-11-08,0,62
15525,2020-10-11,5,157
11183,2020-08-31,3,1033
1317,2020-08-13,0,66
6745,2020-03-26,2,334
15964,2020-06-12,5,168
17558,2020-03-12,5,171
13913,2020-02-24,4,5941
5692,2020-02-15,1,258
15392,2020-10-05,5,164
12051,2020-04-17,4,5829
14699,2020-11-14,4,5741
11311,2020-10-29,3,1040
8765,2020-11-22,2,336
6145,2020-10-18,2,303
7826,2020-07-08,2,299
9417,2020-10-28,3,1032
6932,2020-11-28,2,370
1849,2020-12-20,0,64
11654,2020-05-27,3,1029
12473,2020-10-26,4,5877
912,2020-12-04,0,62
9129,2020-02-15,3,1024
200,2020-02-08,0,69
14080,2020-10-07,4,5729
13118,2020-01-04,4,5748
12820,2020-01-21,4,5899
5607,2020-08-08,1,256
13465,2020-07-03,4,5875
17543,2020-08-22,5,154
4108,2020-08-10,1,250
10371,2020-06-23,3,1028
4926,2020-11-04,1,253
6577,2020-10-24,2,357
6628,2020-12-01,2,313
13678,2020-05-22,4,5770
16487,2020-03-02,5,147
916,2020-06-02,0,76
13706,2020-06-26,4,5795
1667,2020-07-23,0,69
9137,2020-05-17,3,1035
5884,2020-11-23,1,252
6012,2020-04-28,2,356
15692,2020-12-11,5,147
2574,2020-10-26,0,62
3358,2020-02-15,1,250
5508,2020-08-08,1,254
4759,2020-02-23,1,259
3341,2020-12-05,1,254
3558,2020-01-14,1,252
16303,2020-01-16,5,161
7598,2020-07-01,2,333
9128,2020-01-18,3,1037
4491,2020-08-23,1,254
16691,2020-09-02,5,155
10648,2020-02-01,3,1038
15644,2020-11-15,5,148
2991,2020-06-11,0,64
12862,2020-07-04,4,5752
1050,2020-10-09,0,68
6080,2020-03-09,2,340
9047,2020-05-09,3,1035
12690,2020-06-14,4,6029
4797,2020-08-05,1,254
8576,2020-09-19,2,342
4261,2020-10-23,1,254
12440,2020-08-05,4,5710
4969,2020-02-28,1,252
8358,2020-11-29,2,330
2166,2020-11-11,0,62
8977,2020-08-12,2,337
16941,2020-11-10,5,153
5375,2020-08-09,1,256
5684,2020-12-16,1,252
558,2020-01-17,0,67
4621,2020-01-23,1,252
11429,2020-03-04,3,1029
14931,2020-08-27,4,5656
7387,2020-07-03,2,361
10986,2020-02-18,3,1044
1919,2020-10-29,0,73
13682,2020-10-26,4,5823
6555,2020-04-20,2,314
2766,2020-07-09,0,74
4604,2020-09-23,1,256
9230,2020-05-12,3,1027
13631,2020-03-07,4,5984
7297,2020-02-10,2,329
748,2020-08-22,0,65
11878,2020-03-29,3,1035
5856,2020-08-03,1,256
7783,2020-04-29,2,327
10611,2020-06-24,3,1030
13372,2020-04-10,4,5806
15337,2020-02-26,5,149
8797,2020-02-13,2,357
16427,2020-12-23,5,151
13892,2020-10-10,4,5886
12938,2020-12-30,4,5695
9887,2020-10-16,3,1034
15438,2020-04-04,5,156
6335,2020-06-28,2,333
917,2020-05-21,0,61
11680,2020-11-17,3,1041
2944,2020-06-05,0,66
6331,2020-09-03,2,330
16460,2020-04-29,5,151
6263,2020-01-19,2,315
7767,2020-07-26,2,332
783,2020-06-11,0,63
12231,2020-11-26,4,5905
3464,2020-12-12,1,249
10961,2020-04-29,3,1031
12079,2020-07-03,4,5842
15824,2020-01-16,5,144
812,2020-05-29,0,71
4520,2020-07-17,1,258
1608,2020-01-14,0,64
1251,2020-12-08,0,67
3789,2020-12-11,1,254
9583,2020-04-04,3,1030
14707,2020-02-26,4,5780
3647,2020-10-04,1,253
7486,2020-04-15,2,326
93,2020-03-13,0,67
1258,2020-04-19,0,62
13520,2020-12-09,4,5717
7943,2020-10-22,2,340
15515,2020-01-15,5,148
16877,2020-07-05,5,156
8946,2020-02-15,2,335
12818,2020-12-04,4,6015
13919,2020-09-05,4,5709
6038,2020-12-23,2,304
4089,2020-03-29,1,251
17596,2020-02-28,5,147
11727,2020-03-13,3,1026
13353,2020-11-20,4,5734
13184,2020-06-07,4,5786
11534,2020-02-06,3,1033
5039,2020-10-23,1,257
10285,2020-09-25,3,1041
6013,2020-02-18,2,329
10332,2020-02-24,3,1037
11633,2020-03-27,3,1036
9227,2020-07-02,3,1036
3634,2020-05-05,1,255
9112,2020-01-19,3,1023
1095,2020-08-14,0,69
16343,2020-08-24,5,152
1402,2020-08-19,0,69
8463,2020-07-19,2,289
6334,2020-11-21,2,347
10164,2020-02-06,3,1041
2312,2020-10-21,0,67
17747,2020-09-19,5,150
5306,2020-11-08,1,253
5580,2020-10-22,1,252
242,2020-03-15,0,57
14430,2020-05-06,4,5633
6604,2020-06-06,2,360
4438,2020-07-27,1,255
6931,2020-12-19,2,339
14007,2020-10-05,4,5791
8632,2020-04-18,2,341
17102,2020-08-14,5,167
9909,2020-06-05,3,1032
14076,2020-12-30,4,5739
4354,2020-12-18,1,252
251,2020-11-26,0,70
9269,2020-03-20,3,1040
2274,2020-05-05,0,73
9422,2020-11-12,3,1045
